npi,name,n_lines,mean_medicare_mult,median_medicare_mult,win_rate
1770816555,National Neuromonitoring Services,8,9.78,10.53,62.5
1124788716,IES FLORIDA PLLC,67,9.71,6.62,82.1
1518545318,"WRFER Cooper, LLC",151,9.62,5.98,78.8
1891125118,SUMMIT SURGICAL ASSISTANTS LLC,1,9.59,9.59,100.0
1942208616,The Woodlands Hospital,3,9.4,10.66,100.0
1043577190,"SAMITA GOYAL, MD",1,9.37,9.37,100.0
1497053912,"ERLC, LLC",1,9.33,9.33,0.0
1134570914,"Joshua Melamed, MD",8,9.19,10.0,87.5
1336470426,"AHADI, JAVID",1,9.07,9.07,0.0
1427360973,"FELIX REGALA, PA-C",3,9.03,8.38,100.0
1295322865,"WRFER Denton, LLC",181,8.97,5.68,82.3
1821752213,"IES Arizona, PLLC",84,8.97,6.67,67.9
1912978610,"NORTHSTAR ANESTHESIA, PA",1,8.96,8.96,100.0
1053027276,IES ALABAMA PLLC,40,8.95,7.24,70.0
1104551134,FORT SMITH EMERGENCY HOSPITAL,18,8.94,4.53,77.8
1821186586,MAZEN ITANI MD PC,1,8.92,8.92,100.0
1609842202,The Peer Group for Plastic Surgery,2,8.92,4.52,50.0
1225173370,Shari Reitzen-Bastidas MD,8,8.87,4.72,87.5
1528488467,"Andrew Abi-Chaker, MD",36,8.85,9.4,94.4
1023306172,"Stephen Viviano, MD",3,8.83,10.73,100.0
1104572841,"EMERGENCY MEDICINE SPECIALISTS, INC.",13,8.82,5.51,69.2
1336328244,Centinela Hospital Medical Center,2,8.79,3.86,100.0
1700621190,"WU, YIQUN",4,8.75,3.65,100.0
1255741864,Virginia McLean,4,8.73,9.82,75.0
1568998417,JACQUELINE ROSS,1,8.73,8.73,100.0
1497735153,"Shahriyour Andaz, MD",40,8.72,8.28,62.5
1568758266,COGENT HEALTHCARE OF ARIZONA PC,1,8.67,8.67,0.0
1518535830,WEST PLANO EP,4,8.66,4.62,75.0
1790457141,"Caremed, PLLC",126,8.6,5.08,81.7
1285252593,"EMER North Fort Worth Beach, LLC",7,8.59,5.18,100.0
1336296177,"ELENA KENTROS-SAVARESE, PA",1,8.58,8.58,100.0
1891138608,"TONY SHAO, MD",11,8.52,8.22,100.0
1003321316,"Bromedicon, LLC",95,8.48,7.23,80.0
1366741738,"EMERGENCY MEDICINE SPECIALISTS, INC.",20,8.44,5.22,75.0
1306325840,"Hospitalist Medicine Physicians of Georgia - TCG, PC",2,8.44,4.66,100.0
1528649423,"Jade Medical, PLLC",174,8.38,4.74,87.9
1235611500,"HATFIELD, JASON",4,8.37,5.73,75.0
1699406173,"EMER Richardson, LLC",2,8.35,7.1,100.0
1275794224,"SAMMY EGHBALIEH, MD",11,8.33,9.53,100.0
1801056312,Svetlana Danovich,10,8.31,8.48,70.0
1538508635,GRACE EMERGENCY ROOM LLC,4,8.25,3.64,100.0
1144838947,EMER MESQUITE GUS THOMASSON LLC,1,8.22,8.22,100.0
1043510183,KANSAL INC,4,8.2,5.83,50.0
1336258417,"DAVID GITLIN, DPM",1,8.17,8.17,100.0
1386222180,"Windview First, PLLC REDACTED",132,8.09,4.63,87.1
1740755305,"RED GRANITE NEUROMONITORING, LLC",1,8.08,8.08,100.0
1609548056,"Capital Health, PLLC",180,8.05,4.63,79.4
1619444353,ALEXANDRIA HOSPITAL,5,8.03,7.0,100.0
1982129169,"JONATHAN BORCEAN, CRNA",1,8.01,8.01,100.0
1871125161,"HARSIMRAN KAUR, PA-C",3,7.92,6.56,100.0
1710139555,Puneet Singh,1,7.79,7.79,100.0
1215943444,"BRIAN PERRI, DO",3,7.77,3.42,100.0
1588438279,"PRICE, BRIAN",1,7.75,7.75,100.0
1831841436,"Rayfield, John",9,7.71,3.36,100.0
1932573144,PRECISION EMERGENCY PHYSICIANS,59,7.71,5.46,76.3
1417287707,"PETER ANDRADE, DO",1,7.7,7.7,0.0
1740914837,EMER Richardson Physicians PLLC,18,7.7,5.62,94.4
1891391389,"MAREA MONITORING, PLLC",1,7.66,7.66,0.0
1164935854,"JB IOM, PLLC",1,7.65,7.65,0.0
1467070698,EMER Rowlett Physicians PLLC,13,7.64,5.62,100.0
1134769789,IES CARROLLTON PLLC,35,7.56,6.76,80.0
1699072611,"Imaging Associates of Indiana, PC",4,7.56,3.43,75.0
1538261250,"MARK R DRZALA MD, PC",1,7.55,7.55,100.0
1003476961,"EMCC Padre Island ER, LLC",8,7.54,3.53,75.0
1518475557,SOUND PHYSICIANS EMERGENCY MEDICINE OF TEXAS PLLC,3,7.54,7.19,100.0
1508064569,Aaron Capuano,1,7.5,7.5,100.0
1285265777,SUNFLOWER HOSPITAL OF TOPEKA,4,7.5,5.93,75.0
1174813174,Velocity Neurocare,1,7.5,7.5,100.0
1295268506,"JOSEPH CARNEVALE, MD",1,7.47,7.47,100.0
1750895686,ARIZONA EP,11,7.36,5.78,45.5
